;;;;;;
;;;;;;
;cod;denumire;grupa;pretul;descriere;brand
;T0506;DANNY Gel Polish 10ml №232;Gel Lac;110;Gel-lac de ultimă generație, cu formulă echilibrată, pigmentare controlată și elasticitate optimă. Asigură aplicare uniformă, fără dungi sau goluri, pentru orice lungime și formă a unghiilor, oferind un finisaj profesional impecabil.;DANNY
;T0507;DANNY Gel Polish 10ml №233;Gel Lac;110;Gel-lac de ultimă generație, cu formulă echilibrată, pigmentare controlată și elasticitate optimă. Asigură aplicare uniformă, fără dungi sau goluri, pentru orice lungime și formă a unghiilor, oferind un finisaj profesional impecabil.;DANNY
;T0508;DANNY Gel Polish 10ml №234;Gel Lac;110;Gel-lac de ultimă generație, cu formulă echilibrată, pigmentare controlată și elasticitate optimă. Asigură aplicare uniformă, fără dungi sau goluri, pentru orice lungime și formă a unghiilor, oferind un finisaj profesional impecabil.;DANNY
;T0509;DANNY Gel Polish 10ml №236;Gel Lac;110;Gel-lac de ultimă generație, cu formulă echilibrată, pigmentare controlată și elasticitate optimă. Asigură aplicare uniformă, fără dungi sau goluri, pentru orice lungime și formă a unghiilor, oferind un finisaj profesional impecabil.;DANNY
;T0510;DANNY Gel Polish 10ml №238;Gel Lac;110;Gel-lac de ultimă generație, cu formulă echilibrată, pigmentare controlată și elasticitate optimă. Asigură aplicare uniformă, fără dungi sau goluri, pentru orice lungime și formă a unghiilor, oferind un finisaj profesional impecabil.;DANNY
;T0511;DANNY Gel Polish 10ml №241 Perla;Gel Lac;110;Gel-lac de ultimă generație, cu formulă echilibrată, pigmentare controlată și elasticitate optimă. Asigură aplicare uniformă, fără dungi sau goluri, pentru orice lungime și formă a unghiilor, oferind un finisaj profesional impecabil.;DANNY
;T0858;DANNY Degresant 3in1 100ml;Lichide;60;Danny 3 in 1 – Dezinfectant, Nail Prep & Cleanser - Produs profesional multifuncțional care combină dezinfectarea, degresarea și curățarea unghiei într-un singur flacon. Ideal pentru pregătirea rapidă, igienică și precisă a unghiilor înainte de aplicarea gel-lacului.;DANNY
;T0859;DANNY Degresant 3in1 250ml;Lichide;90;Danny 3 in 1 – Dezinfectant, Nail Prep & Cleanser - Produs profesional multifuncțional care combină dezinfectarea, degresarea și curățarea unghiei într-un singur flacon. Ideal pentru pregătirea rapidă, igienică și precisă a unghiilor înainte de aplicarea gel-lacului.;DANNY
;T0860;DANNY Degresant 3in1 500ml;Lichide;150;Danny 3 in 1 – Dezinfectant, Nail Prep & Cleanser - Produs profesional multifuncțional care combină dezinfectarea, degresarea și curățarea unghiei într-un singur flacon. Ideal pentru pregătirea rapidă, igienică și precisă a unghiilor înainte de aplicarea gel-lacului.;DANNY
;T2488;DANNY Dehydrator 10ml;Solutii pregatitoare;80;Primul pas esențial în pregătirea unghiei, care îndepărtează rapid umezeala și sebumul. Asigură aderență perfectă a bazei și crește durabilitatea manichiurii.;DANNY
;T2460;DANNY Dry Oil 15ml  Bubble Gum;Ingrijire;110;Ulei uscat pentru hidratare rapidă și intensă a cuticulelor și pielii. Se absoarbe imediat, nu lasă peliculă grasă și oferă un aspect îngrijit și luminos mâinilor. Ideal pentru îngrijire zilnică sau după procedurile de manichiură.;DANNY
;T2461;DANNY Dry Oil 15ml Caramel;Ingrijire;110;Ulei uscat pentru hidratare rapidă și intensă a cuticulelor și pielii. Se absoarbe imediat, nu lasă peliculă grasă și oferă un aspect îngrijit și luminos mâinilor. Ideal pentru îngrijire zilnică sau după procedurile de manichiură.;DANNY
;T2462;DANNY Dry Oil 15ml Cherry;Ingrijire;110;Ulei uscat pentru hidratare rapidă și intensă a cuticulelor și pielii. Se absoarbe imediat, nu lasă peliculă grasă și oferă un aspect îngrijit și luminos mâinilor. Ideal pentru îngrijire zilnică sau după procedurile de manichiură.;DANNY
;T2463;DANNY Dry Oil 15ml Mango;Ingrijire;110;Ulei uscat pentru hidratare rapidă și intensă a cuticulelor și pielii. Se absoarbe imediat, nu lasă peliculă grasă și oferă un aspect îngrijit și luminos mâinilor. Ideal pentru îngrijire zilnică sau după procedurile de manichiură.;DANNY
;T2464;DANNY Dry Oil 15ml Melon;Ingrijire;110;Ulei uscat pentru hidratare rapidă și intensă a cuticulelor și pielii. Se absoarbe imediat, nu lasă peliculă grasă și oferă un aspect îngrijit și luminos mâinilor. Ideal pentru îngrijire zilnică sau după procedurile de manichiură.;DANNY
;T2465;DANNY Dry Oil 15ml Orange-Cinnamon;Ingrijire;110;Ulei uscat pentru hidratare rapidă și intensă a cuticulelor și pielii. Se absoarbe imediat, nu lasă peliculă grasă și oferă un aspect îngrijit și luminos mâinilor. Ideal pentru îngrijire zilnică sau după procedurile de manichiură.;DANNY
;T2466;DANNY Dry Oil 15ml Oreo;Ingrijire;110;Ulei uscat pentru hidratare rapidă și intensă a cuticulelor și pielii. Se absoarbe imediat, nu lasă peliculă grasă și oferă un aspect îngrijit și luminos mâinilor. Ideal pentru îngrijire zilnică sau după procedurile de manichiură.;DANNY
;T2467;DANNY Dry Oil 15ml Pear-Vanilla;Ingrijire;110;Ulei uscat pentru hidratare rapidă și intensă a cuticulelor și pielii. Se absoarbe imediat, nu lasă peliculă grasă și oferă un aspect îngrijit și luminos mâinilor. Ideal pentru îngrijire zilnică sau după procedurile de manichiură.;DANNY
;T2468;DANNY Dry Oil 15ml Strawberries with Cream;Ingrijire;110;Ulei uscat pentru hidratare rapidă și intensă a cuticulelor și pielii. Se absoarbe imediat, nu lasă peliculă grasă și oferă un aspect îngrijit și luminos mâinilor. Ideal pentru îngrijire zilnică sau după procedurile de manichiură.;DANNY
;T0512;DANNY Fire Flash Gel Polish 10ml №01;Gel Lac;120;Gel-lac reflectorizant cu particule metalice și folie decorativă, creat pentru un efect intens sub lumină artificială și naturală. Formula oferă strălucire profundă, concentrație ridicată de particule și aplicare ușoară pentru manichiură spectaculoasă.;DANNY
;T0513;DANNY Fire Flash Gel Polish 10ml №04;Gel Lac;120;Gel-lac reflectorizant cu particule metalice și folie decorativă, creat pentru un efect intens sub lumină artificială și naturală. Formula oferă strălucire profundă, concentrație ridicată de particule și aplicare ușoară pentru manichiură spectaculoasă.;DANNY
;T0514;DANNY Fire Flash Gel Polish 10ml №05;Gel Lac;120;Gel-lac reflectorizant cu particule metalice și folie decorativă, creat pentru un efect intens sub lumină artificială și naturală. Formula oferă strălucire profundă, concentrație ridicată de particule și aplicare ușoară pentru manichiură spectaculoasă.;DANNY
;T0515;DANNY Fire Flash Gel Polish 10ml №06;Gel Lac;120;Gel-lac reflectorizant cu particule metalice și folie decorativă, creat pentru un efect intens sub lumină artificială și naturală. Formula oferă strălucire profundă, concentrație ridicată de particule și aplicare ușoară pentru manichiură spectaculoasă.;DANNY
;T0516;DANNY Fire Flash Gel Polish 10ml №08;Gel Lac;120;Gel-lac reflectorizant cu particule metalice și folie decorativă, creat pentru un efect intens sub lumină artificială și naturală. Formula oferă strălucire profundă, concentrație ridicată de particule și aplicare ușoară pentru manichiură spectaculoasă.;DANNY
;T0517;DANNY Fire Flash Gel Polish 10ml №09;Gel Lac;120;Gel-lac reflectorizant cu particule metalice și folie decorativă, creat pentru un efect intens sub lumină artificială și naturală. Formula oferă strălucire profundă, concentrație ridicată de particule și aplicare ușoară pentru manichiură spectaculoasă.;DANNY
;T0518;DANNY Flash Crystal Gel Polish 10ml №20;Gel Lac;110;Gel-lac reflectorizant cu particule metalice și folie decorativă, creat pentru un efect intens sub lumină artificială și naturală. Formula oferă strălucire profundă, concentrație ridicată de particule și aplicare ușoară pentru manichiură spectaculoasă.;DANNY
;T0519;DANNY Flash Crystal Gel Polish 10ml №21;Gel Lac;110;Gel-lac reflectorizant cu particule metalice și folie decorativă, creat pentru un efect intens sub lumină artificială și naturală. Formula oferă strălucire profundă, concentrație ridicată de particule și aplicare ușoară pentru manichiură spectaculoasă.;DANNY
;T0520;DANNY Flash Crystal Gel Polish 10ml №22;Gel Lac;110;Gel-lac reflectorizant cu particule metalice și folie decorativă, creat pentru un efect intens sub lumină artificială și naturală. Formula oferă strălucire profundă, concentrație ridicată de particule și aplicare ușoară pentru manichiură spectaculoasă.;DANNY
;T0521;DANNY Flash Crystal Gel Polish 10ml №23;Gel Lac;110;Gel-lac reflectorizant cu particule metalice și folie decorativă, creat pentru un efect intens sub lumină artificială și naturală. Formula oferă strălucire profundă, concentrație ridicată de particule și aplicare ușoară pentru manichiură spectaculoasă.;DANNY
;T0522;DANNY Flash Crystal Gel Polish 10ml №24;Gel Lac;110;Gel-lac reflectorizant cu particule metalice și folie decorativă, creat pentru un efect intens sub lumină artificială și naturală. Formula oferă strălucire profundă, concentrație ridicată de particule și aplicare ușoară pentru manichiură spectaculoasă.;DANNY
;T0523.1;DANNY Flash Crystal Gel Polish 10ml №26;Gel Lac;110;Gel-lac reflectorizant cu particule metalice și folie decorativă, creat pentru un efect intens sub lumină artificială și naturală. Formula oferă strălucire profundă, concentrație ridicată de particule și aplicare ușoară pentru manichiură spectaculoasă.;DANNY
;T0523;DANNY Flash Crystal Gel Polish 10ml №27;Gel Lac;110;Gel-lac reflectorizant cu particule metalice și folie decorativă, creat pentru un efect intens sub lumină artificială și naturală. Formula oferă strălucire profundă, concentrație ridicată de particule și aplicare ușoară pentru manichiură spectaculoasă.;DANNY
;T0524;DANNY Flash Crystal Gel Polish 10ml №28;Gel Lac;110;Gel-lac reflectorizant cu particule metalice și folie decorativă, creat pentru un efect intens sub lumină artificială și naturală. Formula oferă strălucire profundă, concentrație ridicată de particule și aplicare ușoară pentru manichiură spectaculoasă.;DANNY
;T0525;DANNY Flash Crystal Gel Polish 10ml №29;Gel Lac;110;Gel-lac reflectorizant cu particule metalice și folie decorativă, creat pentru un efect intens sub lumină artificială și naturală. Formula oferă strălucire profundă, concentrație ridicată de particule și aplicare ușoară pentru manichiură spectaculoasă.;DANNY
;T0526;DANNY Flash Crystal Gel Polish 10ml №31;Gel Lac;110;Gel-lac reflectorizant cu particule metalice și folie decorativă, creat pentru un efect intens sub lumină artificială și naturală. Formula oferă strălucire profundă, concentrație ridicată de particule și aplicare ușoară pentru manichiură spectaculoasă.;DANNY
;T0527;DANNY Flash Crystal Gel Polish 10ml №32;Gel Lac;110;Gel-lac reflectorizant cu particule metalice și folie decorativă, creat pentru un efect intens sub lumină artificială și naturală. Formula oferă strălucire profundă, concentrație ridicată de particule și aplicare ușoară pentru manichiură spectaculoasă.;DANNY
;T0528;DANNY Flash Crystal Gel Polish 10ml №33;Gel Lac;110;Gel-lac reflectorizant cu particule metalice și folie decorativă, creat pentru un efect intens sub lumină artificială și naturală. Formula oferă strălucire profundă, concentrație ridicată de particule și aplicare ușoară pentru manichiură spectaculoasă.;DANNY
;T0529;DANNY Flash Crystal Gel Polish 10ml №35;Gel Lac;110;Gel-lac reflectorizant cu particule metalice și folie decorativă, creat pentru un efect intens sub lumină artificială și naturală. Formula oferă strălucire profundă, concentrație ridicată de particule și aplicare ușoară pentru manichiură spectaculoasă.;DANNY
;T0530;DANNY Flash Crystal Gel Polish 10ml №36;Gel Lac;110;Gel-lac reflectorizant cu particule metalice și folie decorativă, creat pentru un efect intens sub lumină artificială și naturală. Formula oferă strălucire profundă, concentrație ridicată de particule și aplicare ușoară pentru manichiură spectaculoasă.;DANNY
;T0531;DANNY Flash Crystal Gel Polish 10ml №37;Gel Lac;110;Gel-lac reflectorizant cu particule metalice și folie decorativă, creat pentru un efect intens sub lumină artificială și naturală. Formula oferă strălucire profundă, concentrație ridicată de particule și aplicare ușoară pentru manichiură spectaculoasă.;DANNY
;T0532;DANNY Flash Crystal Gel Polish 10ml №39;Gel Lac;110;Gel-lac reflectorizant cu particule metalice și folie decorativă, creat pentru un efect intens sub lumină artificială și naturală. Formula oferă strălucire profundă, concentrație ridicată de particule și aplicare ușoară pentru manichiură spectaculoasă.;DANNY
;T0533;DANNY Flash Crystal Gel Polish 10ml №40;Gel Lac;110;Gel-lac reflectorizant cu particule metalice și folie decorativă, creat pentru un efect intens sub lumină artificială și naturală. Formula oferă strălucire profundă, concentrație ridicată de particule și aplicare ușoară pentru manichiură spectaculoasă.;DANNY
;T0534;DANNY Flash Crystal Gel Polish 10ml №43;Gel Lac;110;Gel-lac reflectorizant cu particule metalice și folie decorativă, creat pentru un efect intens sub lumină artificială și naturală. Formula oferă strălucire profundă, concentrație ridicată de particule și aplicare ușoară pentru manichiură spectaculoasă.;DANNY
;T0535;DANNY Flash Crystal Gel Polish 10ml №44;Gel Lac;110;Gel-lac reflectorizant cu particule metalice și folie decorativă, creat pentru un efect intens sub lumină artificială și naturală. Formula oferă strălucire profundă, concentrație ridicată de particule și aplicare ușoară pentru manichiură spectaculoasă.;DANNY
;T0536;DANNY Flash Crystal Gel Polish 10ml №45;Gel Lac;110;Gel-lac reflectorizant cu particule metalice și folie decorativă, creat pentru un efect intens sub lumină artificială și naturală. Formula oferă strălucire profundă, concentrație ridicată de particule și aplicare ușoară pentru manichiură spectaculoasă.;DANNY
;T0537;DANNY Flash Crystal Gel Polish 10ml №46;Gel Lac;110;Gel-lac reflectorizant cu particule metalice și folie decorativă, creat pentru un efect intens sub lumină artificială și naturală. Formula oferă strălucire profundă, concentrație ridicată de particule și aplicare ușoară pentru manichiură spectaculoasă.;DANNY
;T0538;DANNY Flash Crystal Gel Polish 10ml №48;Gel Lac;110;Gel-lac reflectorizant cu particule metalice și folie decorativă, creat pentru un efect intens sub lumină artificială și naturală. Formula oferă strălucire profundă, concentrație ridicată de particule și aplicare ușoară pentru manichiură spectaculoasă.;DANNY
;3062;DANNY Frost Cat Eye 8ml №01;Gel Lac;100;Gel-lac cu efect magnetic, combinând roșu intens și reflexii reci, cristaline. Oferă un look spectaculos, ca un rubin fierbinte acoperit de un voal de gheață, pentru unghii atrăgătoare și elegante.;DANNY
;3063;DANNY Frost Cat Eye 8ml №02;Gel Lac;100;Gel-lac cu efect magnetic, combinând roșu intens și reflexii reci, cristaline. Oferă un look spectaculos, ca un rubin fierbinte acoperit de un voal de gheață, pentru unghii atrăgătoare și elegante.;DANNY
;T1828;DANNY Gel Paint Black 5ml;Gel Lac;100;Gel vopsea ideal pentru design-uri precise pe unghii. Nu se întinde înainte de polimerizare și oferă durabilitate, contur clar și culoare intensă pe termen lung.;DANNY
;T1829;DANNY Gel Paint Metalic №1;Gel Lac;95;Gel vopsea ideal pentru design-uri precise pe unghii. Nu se întinde înainte de polimerizare și oferă durabilitate, contur clar și culoare intensă pe termen lung.;DANNY
;T1830;DANNY Gel Paint Metalic №2;Gel Lac;95;Gel vopsea ideal pentru design-uri precise pe unghii. Nu se întinde înainte de polimerizare și oferă durabilitate, contur clar și culoare intensă pe termen lung.;DANNY
;T1831;DANNY Gel Paint Metalic №3;Gel Lac;95;Gel vopsea ideal pentru design-uri precise pe unghii. Nu se întinde înainte de polimerizare și oferă durabilitate, contur clar și culoare intensă pe termen lung.;DANNY
;T1832;DANNY Gel Paint Metalic №4;Gel Lac;95;Gel vopsea ideal pentru design-uri precise pe unghii. Nu se întinde înainte de polimerizare și oferă durabilitate, contur clar și culoare intensă pe termen lung.;DANNY
;T1833;DANNY Gel Paint Metalic №5;Gel Lac;95;Gel vopsea ideal pentru design-uri precise pe unghii. Nu se întinde înainte de polimerizare și oferă durabilitate, contur clar și culoare intensă pe termen lung.;DANNY
;T1834;DANNY Gel Paint Metalic №6;Gel Lac;95;Gel vopsea ideal pentru design-uri precise pe unghii. Nu se întinde înainte de polimerizare și oferă durabilitate, contur clar și culoare intensă pe termen lung.;DANNY
;T1835;DANNY Gel Paint White 5ml;Gel Lac;100;Gel vopsea ideal pentru design-uri precise pe unghii. Nu se întinde înainte de polimerizare și oferă durabilitate, contur clar și culoare intensă pe termen lung.;DANNY
;T0539;DANNY Glass Cat Eyes 8ml №01;Gel Lac;100;Gel-lac cu efect magnetic, combinând roșu intens și reflexii reci, cristaline. Oferă un look spectaculos, ca un rubin fierbinte acoperit de un voal de gheață, pentru unghii atrăgătoare și elegante.;DANNY
;T0540;DANNY Glass Cat Eyes 8ml №02;Gel Lac;100;Gel-lac cu efect magnetic, combinând roșu intens și reflexii reci, cristaline. Oferă un look spectaculos, ca un rubin fierbinte acoperit de un voal de gheață, pentru unghii atrăgătoare și elegante.;DANNY
;T0541;DANNY Glass Cat Eyes 8ml №03;Gel Lac;100;Gel-lac cu efect magnetic, combinând roșu intens și reflexii reci, cristaline. Oferă un look spectaculos, ca un rubin fierbinte acoperit de un voal de gheață, pentru unghii atrăgătoare și elegante.;DANNY
;T0542;DANNY Glass Cat Eyes 8ml №04;Gel Lac;100;Gel-lac cu efect magnetic, combinând roșu intens și reflexii reci, cristaline. Oferă un look spectaculos, ca un rubin fierbinte acoperit de un voal de gheață, pentru unghii atrăgătoare și elegante.;DANNY
;T0543;DANNY Glass Cat Eyes 8ml №05;Gel Lac;100;Gel-lac cu efect magnetic, combinând roșu intens și reflexii reci, cristaline. Oferă un look spectaculos, ca un rubin fierbinte acoperit de un voal de gheață, pentru unghii atrăgătoare și elegante.;DANNY
;T0544;DANNY Glass Cat Eyes 8ml №06;Gel Lac;100;Gel-lac cu efect magnetic, combinând roșu intens și reflexii reci, cristaline. Oferă un look spectaculos, ca un rubin fierbinte acoperit de un voal de gheață, pentru unghii atrăgătoare și elegante.;DANNY
;T0545;DANNY Glass Cat Eyes 8ml №07;Gel Lac;100;Gel-lac cu efect magnetic, combinând roșu intens și reflexii reci, cristaline. Oferă un look spectaculos, ca un rubin fierbinte acoperit de un voal de gheață, pentru unghii atrăgătoare și elegante.;DANNY
;T0546;DANNY Glass Cat Eyes 8ml №08;Gel Lac;100;Gel-lac cu efect magnetic, combinând roșu intens și reflexii reci, cristaline. Oferă un look spectaculos, ca un rubin fierbinte acoperit de un voal de gheață, pentru unghii atrăgătoare și elegante.;DANNY
;T0547;DANNY Glass Cat Eyes 8ml №09;Gel Lac;100;Gel-lac cu efect magnetic, combinând roșu intens și reflexii reci, cristaline. Oferă un look spectaculos, ca un rubin fierbinte acoperit de un voal de gheață, pentru unghii atrăgătoare și elegante.;DANNY
;T0548;DANNY Glass Cat Eyes 8ml №10;Gel Lac;100;Gel-lac cu efect magnetic, combinând roșu intens și reflexii reci, cristaline. Oferă un look spectaculos, ca un rubin fierbinte acoperit de un voal de gheață, pentru unghii atrăgătoare și elegante.;DANNY
;T0549;DANNY Glass Cat Eyes 8ml №11;Gel Lac;100;Gel-lac cu efect magnetic, combinând roșu intens și reflexii reci, cristaline. Oferă un look spectaculos, ca un rubin fierbinte acoperit de un voal de gheață, pentru unghii atrăgătoare și elegante.;DANNY
;T0550;DANNY Glass Cat Eyes 8ml №12;Gel Lac;100;Gel-lac cu efect magnetic, combinând roșu intens și reflexii reci, cristaline. Oferă un look spectaculos, ca un rubin fierbinte acoperit de un voal de gheață, pentru unghii atrăgătoare și elegante.;DANNY
;T0551;DANNY Glass Cat Eyes 8ml №13;Gel Lac;100;Gel-lac cu efect magnetic, combinând roșu intens și reflexii reci, cristaline. Oferă un look spectaculos, ca un rubin fierbinte acoperit de un voal de gheață, pentru unghii atrăgătoare și elegante.;DANNY
;T2300;DANNY Glossy Tint Cover  Top №01;Topuri;165;Top coat lucios fără strat lipicios, cu nuanță delicată sau intensă. Creează un efect de filtrare a culorii (tint), intensificând și uniformizând gel-lacul pentru unghii mai vibrante și elegante.;DANNY
;T2301;DANNY Glossy Tint Cover  Top №02;Topuri;165;Top coat lucios fără strat lipicios, cu nuanță delicată sau intensă. Creează un efect de filtrare a culorii (tint), intensificând și uniformizând gel-lacul pentru unghii mai vibrante și elegante.;DANNY
;T2302;DANNY Glossy Tint Cover  Top №03;Topuri;165;Top coat lucios fără strat lipicios, cu nuanță delicată sau intensă. Creează un efect de filtrare a culorii (tint), intensificând și uniformizând gel-lacul pentru unghii mai vibrante și elegante.;DANNY
;T2303;DANNY Glossy Tint Cover  Top №04;Topuri;165;Top coat lucios fără strat lipicios, cu nuanță delicată sau intensă. Creează un efect de filtrare a culorii (tint), intensificând și uniformizând gel-lacul pentru unghii mai vibrante și elegante.;DANNY
;T2304;DANNY Glossy Tint Cover  Top №05;Topuri;165;Top coat lucios fără strat lipicios, cu nuanță delicată sau intensă. Creează un efect de filtrare a culorii (tint), intensificând și uniformizând gel-lacul pentru unghii mai vibrante și elegante.;DANNY
;T2270;DANNY Glue Gel 8ml;Accesuare pentru mesteri;90;Gel adeziv profesional pentru tipuri, care asigură o fixare puternică și de durată. Aplicare simplă: se folosește împreună cu Rubber Base pentru unghii pregătite, oferind unghii rezistente și manichiuri durabile.;DANNY
;T2376;DANNY Hema Free Base 15ml;Base;210;DANNY Hema Free Base este o bază pentru unghii fără HEMA, creată pentru a reduce riscul de sensibilizare și a oferi o aderență excelentă a materialului. Formula sa asigură o aplicare uniformă, rezistență îndelungată și un finisaj profesional al manichiurii.;DANNY
;T0552;DANNY ICE Cat Eyes 12ml №001;Gel Lac;120;Gel-lac cu efect magnetic, combinând roșu intens și reflexii reci, cristaline. Oferă un look spectaculos, ca un rubin fierbinte acoperit de un voal de gheață, pentru unghii atrăgătoare și elegante.;DANNY
;T0553;DANNY ICE Cat Eyes 12ml №002;Gel Lac;120;Gel-lac cu efect magnetic, combinând roșu intens și reflexii reci, cristaline. Oferă un look spectaculos, ca un rubin fierbinte acoperit de un voal de gheață, pentru unghii atrăgătoare și elegante.;DANNY
;T0554;DANNY ICE Cat Eyes 12ml №003;Gel Lac;120;Gel-lac cu efect magnetic, combinând roșu intens și reflexii reci, cristaline. Oferă un look spectaculos, ca un rubin fierbinte acoperit de un voal de gheață, pentru unghii atrăgătoare și elegante.;DANNY
;T0555;DANNY ICE Cat Eyes 12ml №004;Gel Lac;120;Gel-lac cu efect magnetic, combinând roșu intens și reflexii reci, cristaline. Oferă un look spectaculos, ca un rubin fierbinte acoperit de un voal de gheață, pentru unghii atrăgătoare și elegante.;DANNY
;T0556;DANNY ICE Cat Eyes 12ml №005;Gel Lac;120;Gel-lac cu efect magnetic, combinând roșu intens și reflexii reci, cristaline. Oferă un look spectaculos, ca un rubin fierbinte acoperit de un voal de gheață, pentru unghii atrăgătoare și elegante.;DANNY
;T0557;DANNY ICE Cat Eyes 12ml №006;Gel Lac;120;Gel-lac cu efect magnetic, combinând roșu intens și reflexii reci, cristaline. Oferă un look spectaculos, ca un rubin fierbinte acoperit de un voal de gheață, pentru unghii atrăgătoare și elegante.;DANNY
;T1671;DANNY Jelly Gel 15ml №01;Alungire;180;Gel-jelly cu textură aerată, ideal pentru modelarea naturală a unghiei. Potrivit pentru: modelarea plăcii, repararea unghiilor, alungirea patului unghial și întărirea marginii liberă, oferind un finisaj uniform și rezistent.;DANNY
;T1672;DANNY Jelly Gel 15ml №02;Alungire;180;Gel-jelly cu textură aerată, ideal pentru modelarea naturală a unghiei. Potrivit pentru: modelarea plăcii, repararea unghiilor, alungirea patului unghial și întărirea marginii liberă, oferind un finisaj uniform și rezistent.;DANNY
;T1673;DANNY Jelly Gel 15ml №04;Alungire;180;Gel-jelly cu textură aerată, ideal pentru modelarea naturală a unghiei. Potrivit pentru: modelarea plăcii, repararea unghiilor, alungirea patului unghial și întărirea marginii liberă, oferind un finisaj uniform și rezistent.;DANNY
;T1674;DANNY Jelly Gel 15ml №06;Alungire;180;Gel-jelly cu textură aerată, ideal pentru modelarea naturală a unghiei. Potrivit pentru: modelarea plăcii, repararea unghiilor, alungirea patului unghial și întărirea marginii liberă, oferind un finisaj uniform și rezistent.;DANNY
;3000;DANNY Jelly Gel 15ml №09;Alungire;180;Gel-jelly cu textură aerată, ideal pentru modelarea naturală a unghiei. Potrivit pentru: modelarea plăcii, repararea unghiilor, alungirea patului unghial și întărirea marginii liberă, oferind un finisaj uniform și rezistent.;DANNY
;T1675;DANNY Jelly Gel 15ml №10;Alungire;180;Gel-jelly cu textură aerată, ideal pentru modelarea naturală a unghiei. Potrivit pentru: modelarea plăcii, repararea unghiilor, alungirea patului unghial și întărirea marginii liberă, oferind un finisaj uniform și rezistent.;DANNY
;T1676;DANNY Jelly Gel 15ml №11;Alungire;180;Gel-jelly cu textură aerată, ideal pentru modelarea naturală a unghiei. Potrivit pentru: modelarea plăcii, repararea unghiilor, alungirea patului unghial și întărirea marginii liberă, oferind un finisaj uniform și rezistent.;DANNY
;T1677;DANNY Jelly Gel 15ml №12;Alungire;180;Gel-jelly cu textură aerată, ideal pentru modelarea naturală a unghiei. Potrivit pentru: modelarea plăcii, repararea unghiilor, alungirea patului unghial și întărirea marginii liberă, oferind un finisaj uniform și rezistent.;DANNY
;T1678;DANNY Jelly Gel 15ml №13;Alungire;180;Gel-jelly cu textură aerată, ideal pentru modelarea naturală a unghiei. Potrivit pentru: modelarea plăcii, repararea unghiilor, alungirea patului unghial și întărirea marginii liberă, oferind un finisaj uniform și rezistent.;DANNY
;T1679;DANNY Jelly Gel 15ml №14;Alungire;180;Gel-jelly cu textură aerată, ideal pentru modelarea naturală a unghiei. Potrivit pentru: modelarea plăcii, repararea unghiilor, alungirea patului unghial și întărirea marginii liberă, oferind un finisaj uniform și rezistent.;DANNY
;T1680;DANNY Jelly Gel 30ml №01;Alungire;250;Gel-jelly cu textură aerată, ideal pentru modelarea naturală a unghiei. Potrivit pentru: modelarea plăcii, repararea unghiilor, alungirea patului unghial și întărirea marginii liberă, oferind un finisaj uniform și rezistent.;DANNY
;T1681;DANNY Jelly Gel 30ml №02;Alungire;250;Gel-jelly cu textură aerată, ideal pentru modelarea naturală a unghiei. Potrivit pentru: modelarea plăcii, repararea unghiilor, alungirea patului unghial și întărirea marginii liberă, oferind un finisaj uniform și rezistent.;DANNY
;T1682;DANNY Jelly Gel 30ml №04;Alungire;250;Gel-jelly cu textură aerată, ideal pentru modelarea naturală a unghiei. Potrivit pentru: modelarea plăcii, repararea unghiilor, alungirea patului unghial și întărirea marginii liberă, oferind un finisaj uniform și rezistent.;DANNY
;3048;DANNY Jelly Gel 30ml №09;Alungire;250;Gel-jelly cu textură aerată, ideal pentru modelarea naturală a unghiei. Potrivit pentru: modelarea plăcii, repararea unghiilor, alungirea patului unghial și întărirea marginii liberă, oferind un finisaj uniform și rezistent.;DANNY
;T1683;DANNY Jelly Gel 30ml №10;Alungire;250;Gel-jelly cu textură aerată, ideal pentru modelarea naturală a unghiei. Potrivit pentru: modelarea plăcii, repararea unghiilor, alungirea patului unghial și întărirea marginii liberă, oferind un finisaj uniform și rezistent.;DANNY
;T1684;DANNY Jelly Gel 30ml №11;Alungire;250;Gel-jelly cu textură aerată, ideal pentru modelarea naturală a unghiei. Potrivit pentru: modelarea plăcii, repararea unghiilor, alungirea patului unghial și întărirea marginii liberă, oferind un finisaj uniform și rezistent.;DANNY
;T1685;DANNY Jelly Gel 30ml №12;Alungire;250;Gel-jelly cu textură aerată, ideal pentru modelarea naturală a unghiei. Potrivit pentru: modelarea plăcii, repararea unghiilor, alungirea patului unghial și întărirea marginii liberă, oferind un finisaj uniform și rezistent.;DANNY
;T1686;DANNY Jelly Gel 30ml №13;Alungire;250;Gel-jelly cu textură aerată, ideal pentru modelarea naturală a unghiei. Potrivit pentru: modelarea plăcii, repararea unghiilor, alungirea patului unghial și întărirea marginii liberă, oferind un finisaj uniform și rezistent.;DANNY
;T1687;DANNY Jelly Gel 30ml №14;Alungire;250;Gel-jelly cu textură aerată, ideal pentru modelarea naturală a unghiei. Potrivit pentru: modelarea plăcii, repararea unghiilor, alungirea patului unghial și întărirea marginii liberă, oferind un finisaj uniform și rezistent.;DANNY
;T2198;DANNY solutie hemostatica 15ml;Solutii pregatitoare;75;DANNY soluție hemostatică este un produs conceput pentru oprirea rapidă a sângerărilor minore apărute în timpul manichiurii sau pedichiurii. Acționează rapid și eficient, oferind confort și siguranță în timpul procedurilor de îngrijire a unghiilor. ;DANNY
